,0
1061,440
1062,440
1063,441
1064,441
1065,442
1066,442
1067,443
1068,444
1069,444
1070,445
1071,445
1072,446
1073,446
1074,447
1075,448
1076,449
1077,449
1078,449
1079,450
1080,450
1081,450
1082,450
1083,451
1084,452
1085,452
1086,452
1087,453
1088,453
1089,453
1090,453
1091,453
1092,453
1093,453
1094,454
1095,455
1096,455
1097,455
1098,456
1099,456
1100,456
1101,456
1102,457
1103,457
1104,457
1105,457
1106,457
1107,457
1108,457
1109,458
1110,458
1111,458
1112,458
1113,458
1114,459
1115,459
1116,459
1117,459
1118,460
1119,461
1120,461
1121,461
1122,461
1123,462
1124,463
1125,463
1126,463
1127,463
1128,464
1129,465
1130,465
1131,465
1132,466
1133,467
1134,467
1135,467
1136,467
1137,468
1138,469
1139,470
1140,471
1141,471
1142,472
1143,473
1144,473
1145,473
1146,473
1147,473
1148,474
1149,474
1150,474
1151,474
1152,475
1153,476
1154,477
1155,478
1156,478
1157,478
1158,478
1159,479
1160,479
1161,479
1162,479
1163,479
1164,479
1165,480
1166,480
1167,480
1168,480
1169,481
1170,481
1171,481
1172,482
1173,483
1174,483
1175,483
1176,484
1177,484
1178,484
1179,484
1180,485
1181,486
1182,486
1183,486
1184,487
1185,487
1186,487
1187,487
1188,488
1189,488
1190,488
1191,488
1192,488
1193,489
1194,489
1195,489
1196,489
1197,489
1198,489
1199,490
1200,490
1201,490
1202,490
1203,490
1204,490
1205,490
1206,490
1207,490
1208,490
1209,490
1210,490
1211,490
1212,490
1213,490
1214,490
1215,490
1216,490
1217,490
1218,491
1219,491
1220,492
1221,492
1222,492
1223,493
1224,494
1225,494
1226,494
1227,495
1228,496
1229,496
1230,496
1231,496
1232,496
1233,496
1234,496
1235,496
1236,496
1237,496
1238,496
1239,496
1240,497
1241,497
1242,498
1243,498
1244,498
1245,498
1246,498
1247,498
1248,498
1249,498
1250,498
1251,498
1252,498
1253,499
1254,499
1255,499
1256,500
1257,501
1258,502
1259,502
1260,503
1261,503
1262,503
1263,503
1264,504
1265,504
1266,504
1267,505
1268,506
1269,506
1270,506
1271,506
1272,506
1273,507
1274,507
1275,507
1276,507
1277,508
1278,508
1279,508
1280,508
1281,508
1282,508
1283,509
1284,510
1285,510
1286,510
1287,510
1288,511
1289,511
1290,512
1291,512
1292,513
1293,513
1294,513
1295,513
1296,513
1297,513
1298,514
1299,514
1300,514
1301,514
1302,514
1303,514
1304,514
1305,514
1306,514
1307,514
1308,515
1309,515
1310,515
1311,515
1312,515
1313,515
1314,515
1315,515
1316,515
1317,515
1318,515
1319,515
1320,515
1321,516
1322,516
1323,517
1324,518
1325,519
1326,519
1327,519
1328,519
1329,519
1330,520
1331,520
1332,520
1333,520
1334,520
1335,520
1336,520
1337,520
1338,520
1339,521
1340,521
1341,521
1342,521
1343,521
1344,521
1345,521
1346,522
1347,523
1348,523
1349,523
1350,523
1351,523
1352,523
1353,524
1354,524
1355,525
1356,525
1357,526
1358,526
1359,526
1360,526
1361,526
1362,526
1363,526
1364,526
1365,526
1366,526
1367,526
1368,526
1369,526
1370,527
1371,527
1372,527
1373,527
1374,527
1375,527
1376,527
1377,527
1378,527
1379,527
1380,527
1381,528
1382,529
1383,530
1384,530
1385,530
1386,530
1387,531
1388,531
1389,531
1390,531
1391,531
1392,531
1393,531
1394,531
1395,531
1396,532
1397,533
1398,533
1399,533
1400,533
1401,533
1402,533
1403,533
1404,533
1405,533
1406,533
1407,534
1408,534
1409,535
1410,535
1411,535
1412,535
1413,535
1414,535
1415,535
1416,535
1417,536
1418,536
1419,536
1420,536
1421,536
1422,536
1423,536
1424,536
1425,537
1426,537
1427,537
1428,537
1429,537
1430,538
1431,538
1432,538
1433,538
1434,539
1435,539
1436,539
1437,539
1438,540
1439,540
1440,540
1441,540
1442,541
1443,541
1444,541
1445,541
1446,541
1447,541
1448,541
1449,541
1450,541
1451,541
1452,541
1453,542
1454,542
1455,542
1456,542
1457,543
1458,543
1459,544
1460,544
1461,544
1462,544
1463,544
1464,545
1465,546
1466,546
1467,546
1468,546
1469,546
1470,546
1471,546
1472,546
1473,546
1474,546
1475,546
1476,546
1477,546
1478,546
1479,546
1480,546
1481,546
1482,547
1483,547
1484,547
1485,547
1486,547
1487,548
1488,548
1489,548
1490,548
1491,548
1492,548
1493,548
1494,548
1495,548
1496,548
1497,548
1498,548
1499,548
1500,548
1501,548
1502,548
1503,548
1504,548
1505,548
1506,549
1507,550
1508,551
1509,551
1510,551
1511,551
1512,551
1513,551
1514,551
1515,552
1516,552
1517,553
1518,553
1519,553
1520,553
1521,554
1522,554
1523,554
1524,554
1525,554
1526,555
1527,555
1528,555
1529,556
1530,557
1531,557
1532,557
1533,557
1534,557
1535,557
1536,557
1537,558
1538,558
1539,558
1540,559
1541,560
1542,560
1543,560
1544,560
1545,561
1546,562
1547,562
1548,562
1549,563
1550,563
1551,563
1552,564
1553,565
1554,565
1555,565
1556,565
1557,566
1558,566
1559,566
1560,566
1561,566
1562,566
1563,566
1564,566
1565,566
1566,567
1567,568
1568,568
1569,568
1570,569
1571,570
1572,570
1573,570
1574,570
1575,570
1576,571
1577,571
1578,572
1579,572
1580,572
1581,572
1582,573
1583,573
1584,574
1585,574
1586,574
1587,574
1588,574
1589,574
1590,574
1591,574
1592,574
1593,574
1594,574
1595,574
1596,574
1597,574
