,0
1061,449
1062,449
1063,449
1064,449
1065,450
1066,450
1067,450
1068,451
1069,451
1070,452
1071,453
1072,454
1073,455
1074,455
1075,456
1076,456
1077,456
1078,456
1079,457
1080,457
1081,457
1082,458
1083,458
1084,459
1085,459
1086,459
1087,459
1088,460
1089,461
1090,461
1091,461
1092,461
1093,462
1094,463
1095,463
1096,463
1097,463
1098,464
1099,464
1100,464
1101,464
1102,464
1103,464
1104,464
1105,464
1106,464
1107,464
1108,464
1109,464
1110,464
1111,464
1112,464
1113,464
1114,465
1115,465
1116,466
1117,466
1118,466
1119,466
1120,467
1121,467
1122,468
1123,468
1124,468
1125,468
1126,468
1127,469
1128,469
1129,469
1130,469
1131,470
1132,470
1133,470
1134,470
1135,471
1136,471
1137,471
1138,471
1139,471
1140,471
1141,471
1142,471
1143,471
1144,471
1145,471
1146,471
1147,471
1148,471
1149,471
1150,471
1151,471
1152,471
1153,471
1154,472
1155,472
1156,472
1157,472
1158,473
1159,474
1160,474
1161,475
1162,475
1163,475
1164,475
1165,476
1166,476
1167,476
1168,476
1169,476
1170,476
1171,476
1172,476
1173,476
1174,476
1175,476
1176,476
1177,476
1178,476
1179,477
1180,477
1181,478
1182,478
1183,479
1184,480
1185,480
1186,481
1187,481
1188,482
1189,483
1190,483
1191,484
1192,485
1193,486
1194,486
1195,486
1196,486
1197,486
1198,487
1199,487
1200,488
1201,488
1202,489
1203,489
1204,489
1205,489
1206,489
1207,489
1208,490
1209,490
1210,490
1211,490
1212,490
1213,490
1214,490
1215,490
1216,491
1217,491
1218,491
1219,491
1220,491
1221,491
1222,491
1223,491
1224,491
1225,491
1226,491
1227,491
1228,491
1229,491
1230,491
1231,491
1232,491
1233,491
1234,491
1235,492
1236,492
1237,492
1238,492
1239,492
1240,493
1241,494
1242,494
1243,494
1244,495
1245,495
1246,495
1247,495
1248,495
1249,496
1250,496
1251,497
1252,498
1253,499
1254,499
1255,499
1256,499
1257,500
1258,500
1259,500
1260,501
1261,501
1262,502
1263,502
1264,502
1265,502
1266,502
1267,502
1268,502
1269,502
1270,503
1271,503
1272,503
1273,504
1274,504
1275,504
1276,504
1277,504
1278,504
1279,504
1280,504
1281,505
1282,505
1283,505
1284,505
1285,505
1286,505
1287,506
1288,506
1289,506
1290,506
1291,507
1292,507
1293,507
1294,507
1295,507
1296,507
1297,508
1298,509
1299,510
1300,510
1301,511
1302,511
1303,512
1304,512
1305,512
1306,512
1307,513
1308,513
1309,513
1310,513
1311,513
1312,513
1313,513
1314,513
1315,514
1316,514
1317,514
1318,514
1319,515
1320,515
1321,515
1322,516
1323,516
1324,516
1325,517
1326,518
1327,518
1328,519
1329,520
1330,520
1331,520
1332,520
1333,520
1334,520
1335,520
1336,520
1337,520
1338,520
1339,520
1340,520
1341,520
1342,520
1343,520
1344,520
1345,520
1346,520
1347,520
1348,520
1349,520
1350,520
1351,520
1352,520
1353,521
1354,522
1355,522
1356,523
1357,524
1358,524
1359,524
1360,524
1361,524
1362,524
1363,524
1364,524
1365,525
1366,525
1367,525
1368,525
1369,526
1370,526
1371,526
1372,527
1373,527
1374,527
1375,527
1376,527
1377,527
1378,528
1379,528
1380,528
1381,529
1382,529
1383,529
1384,529
1385,529
1386,529
1387,529
1388,530
1389,531
1390,531
1391,531
1392,531
1393,531
1394,531
1395,531
1396,531
1397,531
1398,531
1399,531
1400,532
1401,533
1402,534
1403,534
1404,534
1405,534
1406,534
1407,535
1408,535
1409,536
1410,536
1411,536
1412,536
1413,536
1414,536
1415,536
1416,536
1417,537
1418,538
1419,538
1420,538
1421,538
1422,538
1423,538
1424,538
1425,538
1426,538
1427,539
1428,539
1429,539
1430,539
1431,539
1432,539
1433,539
1434,539
1435,539
1436,539
1437,539
1438,539
1439,539
1440,539
1441,540
1442,540
1443,540
1444,540
1445,540
1446,541
1447,541
1448,541
1449,542
1450,543
1451,543
1452,543
1453,543
1454,543
1455,544
1456,545
1457,546
1458,547
1459,547
1460,547
1461,548
1462,549
1463,550
1464,550
1465,550
1466,550
1467,551
1468,551
1469,551
1470,552
1471,552
1472,553
1473,553
1474,553
1475,553
1476,553
1477,554
1478,554
1479,555
1480,555
1481,555
1482,555
1483,555
1484,555
1485,555
1486,556
1487,556
1488,556
1489,556
1490,556
1491,556
1492,557
1493,557
1494,557
1495,558
1496,559
1497,559
1498,559
1499,559
1500,559
1501,559
1502,560
1503,560
1504,560
1505,560
1506,560
1507,560
1508,560
1509,560
1510,560
1511,560
1512,560
1513,560
1514,560
1515,560
1516,560
1517,560
1518,560
1519,560
1520,561
1521,561
1522,561
1523,561
1524,561
1525,561
1526,562
1527,562
1528,562
1529,562
1530,562
1531,562
1532,562
1533,563
1534,563
1535,563
1536,563
1537,563
1538,564
1539,564
1540,564
1541,565
1542,565
1543,565
1544,565
1545,565
1546,565
1547,565
1548,565
1549,566
1550,566
1551,566
1552,566
1553,566
1554,566
1555,566
1556,566
1557,566
1558,566
1559,566
1560,566
1561,566
1562,566
1563,567
1564,567
1565,567
1566,568
1567,568
1568,569
1569,570
1570,570
1571,570
1572,570
1573,570
1574,570
1575,570
1576,570
1577,570
1578,570
1579,570
1580,570
1581,570
1582,570
1583,570
1584,571
1585,571
1586,571
1587,572
1588,572
1589,572
1590,572
1591,572
1592,572
1593,572
1594,572
1595,572
1596,573
1597,574
